,word,ortho,vowels,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_bi_score,pos_uni_score_smoothed,pos_bi_score_smoothed,group,filename
0,g a h a n,gahan,aa,-15.424795057512029,-12.671136251120728,-12.713594601335702,1.5950046496787846,1.0568362269206326,1.5942160548671798,1.0537746821415517,1,gahan.mp3
1,h a h a ʒ,hahaj,aa,-18.279717885936645,-15.5480561905522,-15.694802669418907,1.5324850375176986,1.049136449025569,1.5318300917569716,1.046733780370724,2,hahaj.mp3
2,m a k a n,makan,aa,-13.008346846234591,-11.28043634275908,-11.300021336865491,1.6891002822706591,1.0828270821289048,1.6881485735739905,1.078388901097211,3,makan.mp3
3,h a ʒ a ʒ,hajaj,aa,-20.66320435727874,-18.991359167803843,-19.22316769797684,1.503268859604257,1.0253887052721251,1.502664785412429,1.024260469695336,4,hajaj.mp3
4,ɫ a ʒ a ʒ,lajaj,aa,-19.71086706006132,-20.997350540187437,-21.21655733327964,1.4708414018303289,1.003941564890843,1.4702934062511663,1.003940272651001,5,lajaj.mp3
5,d͡ʒ a m a ʒ,camaj,aa,-17.752742677818908,-17.085266867347194,-17.226367434005237,1.5259583015742766,1.0324208128726595,1.5253144134357843,1.0308841077133883,6,camaj.mp3
6,z a ʒ a ʒ,zajaj,aa,-20.65156820085194,-20.88415273374731,-21.111799773330876,1.473656473289835,1.005674667143876,1.4731036094504746,1.0055823087757958,1,zajaj.mp3
7,ɫ a t a j,latay,aa,-13.539207723328191,-16.70963205807083,-16.722833062461532,1.5581158667217818,1.0364821239096451,1.5574094336214954,1.0346702629498348,2,latay.mp3
8,ɫ a g a v,lagav,aa,-15.754122332862629,-20.553058174302627,-20.55978365883928,1.4882072475199175,1.011899048999812,1.487625321159881,1.011429504802159,3,lagav.mp3
9,k a ɾ e t,karet,ae,-12.998093041208076,-11.97346206217353,-11.990829041411471,1.6697599573021775,1.110223784834866,1.6688574527874926,1.1044830661891687,4,karet.mp3
10,t a ɟ e z,tagez,ae,-19.01299062520888,-inf,-20.823952022657384,1.4656215227621532,1.0269158977146384,1.465084309540202,1.0257003443047683,5,tagez.mp3
11,g a v e n,gaven,ae,-16.239688851845823,-13.908186943802582,-13.954428963263789,1.5116455492031928,1.0347739691193514,1.51100876623818,1.033012423159234,6,gaven.mp3
12,h a v e ʒ,havej,ae,-19.09461168027044,-16.910155513317502,-17.0401322477831,1.4491259370421068,1.0389424664117677,1.448622803127972,1.0370968958000453,1,havej.mp3
13,ɫ a c e c,lakek,ae,-20.652231711132256,-inf,-27.899065041129965,1.386819495813845,1.0035239470356945,1.3864247108936807,1.00355006691279,2,lakek.mp3
14,g a ɟ e ʒ,gagej,ae,-22.95925529063217,-inf,-23.771850826744977,1.408639434555404,1.0072505448133169,1.4082066800608468,1.0070846951102934,3,gagej.mp3
15,z a ɟ e c,zagek,ae,-22.710963226448087,-inf,-26.8402764213242,1.3881083490241413,1.0055295882618005,1.3877113533137964,1.005450234168199,4,zagek.mp3
